#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,1.1429833,0.492142610494,0.6113,0.3887,0.0,0.9689142,0.812373646523,0.5943,0.40569999999999995,0.0
1.0,1.3474718,0.448322065037,0.7202999999999999,0.2797,0.0,1.067177,0.894025170553,0.6682999999999999,0.3317,0.0
1.5,1.3765718,0.465473690726,0.7358999999999999,0.2641,0.0,1.116582,0.944903499393,0.6885,0.3115,0.0
2.0,1.3976075,0.466066533423,0.7592999999999999,0.2407,0.0,1.1445406,0.977432290236,0.7007,0.2993,0.0
2.5,1.4076819,0.470250503861,0.7603,0.2397,0.0,1.1557692,0.958817358173,0.7112999999999999,0.2887,0.0
3.0,1.408563,0.475542780078,0.7526,0.2474,0.0,1.1787,0.968216195169,0.712,0.28800000000000003,0.0
3.5,1.4080009,0.473702456893,0.7626,0.23739999999999997,0.0,1.1692318,0.959901256008,0.7088,0.2912,0.0
4.0,1.4134352,0.473438047774,0.7663,0.2337,0.0,1.1652889,0.949403843971,0.7181,0.2819,0.0
4.5,1.4150413,0.476788495245,0.7663,0.2337,0.0,1.1980506,0.992473830403,0.7155,0.2845,0.0
5.0,1.425855,0.479833691342,0.7718,0.2282,0.0,1.1939458,0.995917488224,0.7157,0.2843,0.0
5.5,1.4273511,0.484621950552,0.7649,0.23510000000000003,0.0,1.1970285,0.961563416929,0.7322,0.2678,0.0
6.0,1.4228977,0.479254252436,0.7661,0.2339,0.0,1.2006953,1.00299147598,0.7283999999999999,0.2716,0.0
6.5,1.4275576,0.481029491184,0.7767000000000001,0.22330000000000003,0.0,1.2032379,0.974263319419,0.7247999999999999,0.2752,0.0
7.0,1.4205677,0.465569901935,0.7679,0.2321,0.0,1.1977641,0.98258042647,0.727,0.273,0.0
7.5,1.4252651,0.480868528848,0.7575000000000001,0.24250000000000002,0.0,1.1951967,0.971877041964,0.7231,0.2769,0.0
8.0,1.4131541,0.473412646745,0.7706999999999999,0.2293,0.0,1.2052381,0.993538785338,0.7304,0.2696,0.0
8.5,1.4264283,0.48319053788,0.7678,0.2322,0.0,1.2215491,1.00210576323,0.7272000000000001,0.2728,0.0
9.0,1.4259786,0.479322773855,0.768,0.23199999999999998,0.0,1.1989411,0.970944474467,0.7302,0.26980000000000004,0.0
9.5,1.4224755,0.472372694397,0.7632000000000001,0.2368,0.0,1.2220317,0.987521608651,0.7219000000000001,0.2781,0.0
10.0,1.4126915,0.466908048652,0.7691999999999999,0.2308,0.0,1.2111093,1.00561399689,0.73,0.27,0.0
