#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,2.6734713,1.38374414493,0.4669,0.5331,0.0,2.1361161484,1.89626770894,0.47529999999999994,0.5242,0.0005
1.0,2.8424017,1.46417999384,0.48529999999999995,0.5147,0.0,2.37559324229,2.01406347144,0.4824,0.5167999999999999,0.0008
1.5,2.8984114,1.48410136412,0.4925,0.5075000000000001,0.0,2.4818355687,2.04848757216,0.4937,0.5051,0.0012
2.0,2.93654183621,1.47947912473,0.5002,0.49970000000000003,0.0001,2.50921661908,2.06531399259,0.4913,0.5074000000000001,0.0013
2.5,2.93445343773,1.49363024743,0.499,0.5009,0.0001,2.53254694168,2.06403123484,0.4994,0.49959999999999993,0.001
3.0,2.9578871,1.4784445743,0.49310000000000004,0.5068999999999999,0.0,2.54890419429,2.05471660678,0.4997,0.4986,0.0017000000000000001
3.5,2.93063771873,1.47611092433,0.4995,0.5004,0.0001,2.58083708808,2.09718425571,0.49060000000000004,0.5079,0.0015
4.0,2.9357652,1.49521496376,0.5011,0.4989,0.0,2.61835089432,2.13958534445,0.5028,0.496,0.0012000000000000001
4.5,2.9290595,1.47561053405,0.5014,0.4986,0.0,2.58417523166,2.05088104964,0.4978,0.501,0.0012
5.0,2.9600938,1.49640093552,0.489,0.511,0.0,2.57648898005,2.07008555563,0.5007,0.4986,0.0007000000000000001
5.5,2.9759085,1.50991660454,0.4899,0.5101,0.0,2.57846279241,2.13521616838,0.49729999999999996,0.5013,0.0014
6.0,2.9650443,1.51067633687,0.4928,0.5071,0.0001,2.58066006176,2.08893061073,0.4971,0.5019,0.001
6.5,2.9887821,1.50785147073,0.4981,0.5019,0.0,2.64155113606,2.14666415198,0.4966,0.5019,0.0015
7.0,2.9646895,1.4995658041,0.4911,0.5089,0.0,2.63463882334,2.11674460246,0.49279999999999996,0.5064,0.0008
7.5,2.97742943381,1.51462230129,0.5049,0.4949,0.0002,2.62790950158,2.12518011968,0.49470000000000003,0.5043,0.001
8.0,2.9706307,1.49278418166,0.49210000000000004,0.5079,0.0,2.64330887082,2.11473741253,0.49479999999999996,0.5036,0.0015999999999999999
8.5,2.95110557687,1.47348624985,0.506,0.4938,0.0002,2.60623861844,2.07330176142,0.4908,0.508,0.0012
9.0,2.96591415078,1.50974142545,0.5024,0.49749999999999994,0.0001,2.5798716714,2.07540992213,0.5005000000000001,0.4989,0.0006000000000000001
9.5,2.96273226487,1.50318661101,0.5005000000000001,0.49939999999999996,0.0001,2.61498770108,2.10339244629,0.501,0.49839999999999995,0.0006
10.0,2.971428,1.52390225536,0.4959,0.5041000000000001,0.0,2.63032517773,2.13053931979,0.4884,0.5108,0.0007999999999999999
