#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,4.12212918348,2.38048820966,0.6225999999999999,0.3732,0.0042,3.24300873119,2.56862135979,0.6281,0.3659,0.006
1.0,4.24141558624,2.4458420079,0.6295,0.366,0.0045,3.37198922492,2.62686331587,0.6419,0.34929999999999994,0.0088
1.5,4.18543301463,2.41992160007,0.6329,0.36160000000000003,0.0055,3.46447401017,2.67325665796,0.6405,0.3509,0.0086
2.0,4.20797940146,2.40708832917,0.6326,0.3613,0.0061,3.44881225793,2.65331192301,0.6411,0.3518,0.0071
2.5,4.23824228977,2.42968024317,0.6274,0.3668,0.0058,3.43419720069,2.66126367129,0.647,0.3451,0.0079
3.0,4.18539901514,2.40608563005,0.6397999999999999,0.3539,0.0063,3.42048595642,2.64251846377,0.6478999999999999,0.3429,0.0092
3.5,4.23342956166,2.46802365195,0.6303,0.3635,0.0062,3.39882152825,2.60831516726,0.6487,0.3414,0.009899999999999999
4.0,4.26716558297,2.48547066303,0.6388,0.3563,0.0049,3.37193697113,2.57123173397,0.6484,0.34249999999999997,0.0091
4.5,4.23718515424,2.45571864855,0.6402999999999999,0.3548,0.004900000000000001,3.47864133349,2.66054846549,0.6558999999999999,0.33609999999999995,0.008
5.0,4.22299798843,2.429679907,0.6325000000000001,0.3617,0.0058,3.48261558152,2.66399844308,0.6554,0.33540000000000003,0.0092
5.5,4.22009423316,2.41488779565,0.6356999999999999,0.35860000000000003,0.0057,3.42316630063,2.61029857779,0.6471,0.34409999999999996,0.0088
6.0,4.20004221299,2.41844337689,0.6351,0.36079999999999995,0.0040999999999999995,3.47551754027,2.66197562978,0.6501,0.34009999999999996,0.0098
6.5,4.22509769855,2.43758878297,0.6364000000000001,0.3584,0.0052,3.44597338637,2.63162838252,0.6457,0.34500000000000003,0.0093
7.0,4.2709987965,2.4521459745,0.6378999999999999,0.3571,0.005,3.44231399836,2.62637906707,0.6476,0.3436,0.0088
7.5,4.20101129588,2.44540113618,0.6312000000000001,0.363,0.0058,3.46271444937,2.65377005093,0.6503,0.34099999999999997,0.0087
8.0,4.2356889121,2.4420631522,0.6419,0.35209999999999997,0.006,3.46927542499,2.61823754864,0.6604,0.3317,0.007899999999999999
8.5,4.18660850416,2.39853207327,0.6352,0.3578,0.007,3.45599897414,2.65057661182,0.6567000000000001,0.33520000000000005,0.0081
9.0,4.28016465876,2.44454057111,0.6375000000000001,0.3574,0.0051,3.41709218234,2.61666806064,0.6512,0.3398,0.009
9.5,4.22248979418,2.4347018683,0.6363,0.3577,0.006,3.43118637842,2.66302161963,0.657,0.3348,0.0082
10.0,4.26593421379,2.4294301913,0.6314,0.36279999999999996,0.0058,3.44941168694,2.66206972494,0.6502,0.3417,0.0081
