#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,4.9,0.595195,0.117229797861,0.7055,0.2945,0.0,0.4464465,0.378670610113,0.604,0.396,0.0
0.5,5.0,0.5889275,0.113723267323,0.721,0.279,0.0,0.430244,0.378118010438,0.596,0.404,0.0
0.7,0.5,4.29166870936,2.50724289789,0.7335,0.258,0.0085,3.2921541908,2.55350700752,0.747,0.244,0.009
0.7,0.6,3.72300402954,2.12964747435,0.7455,0.252,0.0025,2.90452180522,2.27023007697,0.775,0.222,0.003
0.7,0.7,3.27778982866,1.76267005311,0.7785,0.221,0.0005,2.495948999,1.96649713185,0.789,0.2095,0.0015
0.7,0.8,2.8733745,1.47829464525,0.768,0.232,0.0,2.26038514228,1.84525124885,0.7815,0.218,0.0005
0.7,0.9,2.5517635,1.25723708824,0.7875,0.2125,0.0,2.04366810822,1.66642638202,0.7875,0.212,0.0005
0.7,1.0,2.301398,1.11339796317,0.794,0.206,0.0,1.9464497525,1.58773291774,0.7695,0.23,0.0005
0.7,1.1,2.164963,1.03928595535,0.792,0.208,0.0,1.834566,1.45433571827,0.779,0.221,0.0
0.7,1.2000000000000002,1.98749,0.917993523162,0.8065,0.1935,0.0,1.687739,1.38260714242,0.7725,0.2275,0.0
0.7,1.3,1.8606495,0.800642644371,0.7945,0.2055,0.0,1.551705,1.28870258584,0.781,0.219,0.0
0.7,1.4,1.750764,0.788596423891,0.79,0.21,0.0,1.4015515,1.12480699534,0.76,0.24,0.0
0.7,1.5,1.602054,0.723051513652,0.7765,0.2235,0.0,1.334034,1.05271540318,0.7605,0.2395,0.0
0.7,1.6,1.523184,0.652391484585,0.7915,0.2085,0.0,1.2691735,1.01180803411,0.746,0.254,0.0
0.7,1.7000000000000002,1.432111,0.60043340604,0.7625,0.2375,0.0,1.184904,0.931999455671,0.7565,0.2435,0.0
0.7,1.8,1.3630335,0.590350572903,0.767,0.233,0.0,1.1350705,0.945105465512,0.741,0.259,0.0
0.7,1.9000000000000001,1.2787535,0.554585087354,0.762,0.238,0.0,1.127934,0.905378936125,0.719,0.281,0.0
0.7,2.0,1.2294455,0.52104265949,0.767,0.233,0.0,1.016244,0.792998847629,0.7265,0.2735,0.0
0.7,2.1,1.168844,0.492482393491,0.778,0.222,0.0,0.974216,0.782518254057,0.719,0.281,0.0
0.7,2.2,1.122388,0.470043874478,0.738,0.262,0.0,0.9709025,0.785564896216,0.719,0.281,0.0
0.7,2.3,1.066053,0.440589827231,0.7345,0.2655,0.0,0.929524,0.750783123278,0.7145,0.2855,0.0
0.7,2.4000000000000004,1.0114325,0.388741443399,0.742,0.258,0.0,0.9016525,0.750165946439,0.7215,0.2785,0.0
0.7,2.5,0.9784175,0.389501761481,0.7385,0.2615,0.0,0.8441145,0.684399702211,0.691,0.309,0.0
0.7,2.6,0.949403,0.360218606386,0.7325,0.2675,0.0,0.82732,0.681308741206,0.689,0.311,0.0
0.7,2.7,0.9147395,0.326606633344,0.724,0.276,0.0,0.809911,0.662389093146,0.676,0.324,0.0
0.7,2.8000000000000003,0.879632,0.310996051633,0.709,0.291,0.0,0.7829195,0.652900409161,0.687,0.313,0.0
0.7,2.9000000000000004,0.8686175,0.300513003028,0.7045,0.2955,0.0,0.7746655,0.657267677724,0.6895,0.3105,0.0
0.7,3.0,0.8197125,0.256673016002,0.697,0.303,0.0,0.6971735,0.597190955744,0.674,0.326,0.0
0.7,3.1,0.8197085,0.254314752458,0.6895,0.3105,0.0,0.696984,0.569444195388,0.6795,0.3205,0.0
0.7,3.2,0.7902575,0.228859926218,0.7155,0.2845,0.0,0.675357,0.575930923437,0.685,0.315,0.0
0.7,3.3000000000000003,0.7710965,0.225953058176,0.71,0.29,0.0,0.636092,0.54977528894,0.669,0.331,0.0
0.7,3.4000000000000004,0.7563705,0.207179313889,0.7265,0.2735,0.0,0.6217595,0.543215588176,0.634,0.366,0.0
0.7,3.5,0.7457345,0.201912247508,0.702,0.298,0.0,0.6281675,0.533267107838,0.653,0.347,0.0
0.7,3.6,0.7251015,0.192408753578,0.7235,0.2765,0.0,0.59292,0.514239442159,0.66,0.34,0.0
0.7,3.7,0.712143,0.172462352609,0.705,0.295,0.0,0.5884135,0.513825364712,0.629,0.371,0.0
0.7,3.8000000000000003,0.6988415,0.166683225912,0.7085,0.2915,0.0,0.577864,0.505789632216,0.6285,0.3715,0.0
0.7,3.9000000000000004,0.6814895,0.16060444638,0.712,0.288,0.0,0.558556,0.49189327942,0.639,0.361,0.0
0.7,4.0,0.676902,0.14957001448,0.721,0.279,0.0,0.562576,0.48300671871,0.6415,0.3585,0.0
0.7,4.1,0.661974,0.149974183664,0.7125,0.2875,0.0,0.552279,0.494949647666,0.6425,0.3575,0.0
0.7,4.2,0.652922,0.141007712937,0.714,0.286,0.0,0.515006,0.455441650108,0.632,0.368,0.0
0.7,4.300000000000001,0.651519,0.136628377466,0.7215,0.2785,0.0,0.4983455,0.429447753091,0.6475,0.3525,0.0
0.7,4.4,0.639423,0.136352282664,0.73,0.27,0.0,0.4866255,0.452081362954,0.613,0.387,0.0
0.7,4.5,0.622037,0.129384006766,0.7345,0.2655,0.0,0.4718365,0.400406614969,0.637,0.363,0.0
0.7,4.6000000000000005,0.616132,0.131791438909,0.709,0.291,0.0,0.476085,0.427915948755,0.631,0.369,0.0
0.7,4.7,0.60669,0.119775033166,0.722,0.278,0.0,0.4760875,0.428573819553,0.618,0.382,0.0
0.7,4.8,0.5967145,0.116621465414,0.7085,0.2915,0.0,0.455073,0.399214440515,0.604,0.396,0.0
0.7,4.9,0.597115,0.116905542394,0.7005,0.2995,0.0,0.450676,0.399760766886,0.639,0.361,0.0
0.7,5.0,0.5817585,0.114976360026,0.717,0.283,0.0,0.4235055,0.376478784889,0.622,0.378,0.0
0.9,0.5,4.33249361695,2.57272663297,0.736,0.254,0.01,3.25847463005,2.40280609593,0.7495,0.243,0.0075
0.9,0.6,3.68943077956,2.10808491024,0.7485,0.2505,0.001,2.95602072723,2.29837002019,0.796,0.1995,0.0045
