#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,4.9,0.5553005,0.110694992645,0.516,0.484,0.0,0.439572,0.495181613007,0.4855,0.5145,0.0
0.5,5.0,0.551086,0.102491779175,0.513,0.487,0.0,0.4413725,0.49556112405,0.481,0.519,0.0
0.7,0.5,4.711382195,2.77973951687,0.4995,0.4885,0.012,3.67300732107,2.90064597565,0.486,0.4975,0.0165
0.7,0.6,4.09269972291,2.40656879265,0.512,0.4805,0.0075,3.44950838225,2.69877920242,0.4955,0.498,0.0065
0.7,0.7,3.72071059237,2.12702138308,0.5155,0.4815,0.003,3.12759816756,2.56285820189,0.4895,0.504,0.0065
0.7,0.8,3.29924720341,1.84622091647,0.497,0.5025,0.0005,2.82087022133,2.36126553334,0.5,0.4955,0.0045
0.7,0.9,3.0512165,1.59729635412,0.504,0.496,0.0,2.63924402906,2.21291693469,0.4885,0.5105,0.001
0.7,1.0,2.7020795,1.37753927244,0.4815,0.5185,0.0,2.37542511423,2.07595988191,0.484,0.515,0.001
0.7,1.1,2.5493065,1.25218855342,0.5,0.5,0.0,2.23857670641,1.92240669582,0.5085,0.4905,0.001
0.7,1.2000000000000002,2.3553935,1.11656547735,0.5215,0.4785,0.0,2.0513355,1.83387663494,0.4765,0.5235,0.0
0.7,1.3,2.1969115,0.975010620367,0.4765,0.5235,0.0,1.96816175703,1.79783048003,0.4905,0.5085,0.001
0.7,1.4,2.104661,0.952338229746,0.5045,0.4955,0.0,1.821104,1.65163497698,0.488,0.512,0.0
0.7,1.5,1.980594,0.868635731398,0.498,0.502,0.0,1.74561,1.59005926649,0.5015,0.4985,0.0
0.7,1.6,1.8798515,0.762729422604,0.5105,0.4895,0.0,1.5643713988,1.47855502514,0.494,0.5055,0.0005
0.7,1.7000000000000002,1.802126,0.747085240702,0.4945,0.5055,0.0,1.550313,1.48232033143,0.4765,0.5235,0.0
0.7,1.8,1.742309,0.725646785657,0.506,0.494,0.0,1.443258,1.44521029759,0.486,0.514,0.0
0.7,1.9000000000000001,1.6625015,0.687621826007,0.519,0.481,0.0,1.2987585,1.29719859733,0.519,0.481,0.0
0.7,2.0,1.5678915,0.646471606801,0.52,0.48,0.0,1.3029615,1.29538114064,0.494,0.506,0.0
0.7,2.1,1.511535,0.647125020982,0.486,0.514,0.0,1.2487615,1.28174696546,0.5075,0.4925,0.0
0.7,2.2,1.441557,0.594466864094,0.511,0.489,0.0,1.1485815,1.18337472439,0.489,0.511,0.0
0.7,2.3,1.408929,0.592748584624,0.4935,0.5065,0.0,1.164661,1.16615968593,0.488,0.512,0.0
0.7,2.4000000000000004,1.346279,0.605805510451,0.514,0.486,0.0,1.0198705,1.05072173349,0.4905,0.5095,0.0
0.7,2.5,1.2808055,0.568977147553,0.4775,0.5225,0.0,1.050653,1.10184642982,0.4915,0.5085,0.0
0.7,2.6,1.229801,0.562164012729,0.485,0.515,0.0,0.9750885,1.00606820324,0.4695,0.5305,0.0
0.7,2.7,1.1936275,0.545943327602,0.522,0.478,0.0,0.941114,0.981530338558,0.505,0.495,0.0
0.7,2.8000000000000003,1.148556,0.55396211408,0.499,0.501,0.0,0.944577,0.991410776255,0.4985,0.5015,0.0
0.7,2.9000000000000004,1.124019,0.535248656122,0.5015,0.4985,0.0,0.8693865,0.918743047385,0.513,0.487,0.0
0.7,3.0,1.0416685,0.511285158827,0.522,0.478,0.0,0.8249565,0.897140076187,0.48,0.52,0.0
0.7,3.1,1.016685,0.506111506249,0.5075,0.4925,0.0,0.8047945,0.838579369231,0.488,0.512,0.0
0.7,3.2,0.951399,0.484619597775,0.5065,0.4935,0.0,0.77485,0.827313687203,0.5165,0.4835,0.0
0.7,3.3000000000000003,0.9434825,0.47988753344,0.4835,0.5165,0.0,0.7453155,0.794882116946,0.499,0.501,0.0
0.7,3.4000000000000004,0.900732,0.455726586387,0.504,0.496,0.0,0.738889,0.82676123937,0.5035,0.4965,0.0
0.7,3.5,0.858411,0.438205345775,0.511,0.489,0.0,0.702627,0.765939743926,0.527,0.473,0.0
0.7,3.6,0.8323655,0.422338529644,0.506,0.494,0.0,0.6755015,0.726821427092,0.496,0.504,0.0
0.7,3.7,0.814436,0.417301334829,0.4945,0.5055,0.0,0.683865,0.737748662789,0.501,0.499,0.0
0.7,3.8000000000000003,0.7874405,0.390730739575,0.503,0.497,0.0,0.6281845,0.699664946431,0.497,0.503,0.0
0.7,3.9000000000000004,0.760238,0.379743324212,0.4925,0.5075,0.0,0.625172,0.677173859295,0.5135,0.4865,0.0
0.7,4.0,0.740876,0.361495190692,0.4755,0.5245,0.0,0.5872785,0.672107825508,0.503,0.497,0.0
0.7,4.1,0.707735,0.337452551161,0.5085,0.4915,0.0,0.56823,0.660665836691,0.503,0.497,0.0
0.7,4.2,0.704741,0.333439798721,0.4725,0.5275,0.0,0.541249,0.627439011691,0.491,0.509,0.0
