#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,4.9,0.594056,0.127136133296,0.7105,0.2895,0.0,0.4364275,0.390492608058,0.589,0.411,0.0
0.5,5.0,0.5876115,0.117681208385,0.71,0.29,0.0,0.4459755,0.404088538972,0.5815,0.4185,0.0
0.7,0.5,5.11883931884,2.99178582746,0.589,0.3895,0.0215,3.72258526868,2.8989363215,0.622,0.366,0.012
0.7,0.6,4.45475731102,2.57765316509,0.6115,0.38,0.0085,3.32586908556,2.65265135603,0.636,0.3555,0.0085
0.7,0.7,3.9639844004,2.24983838325,0.619,0.375,0.006,3.00918203336,2.4757948312,0.6495,0.348,0.0025
0.7,0.8,3.61826973948,2.04830718805,0.605,0.394,0.001,2.83165961423,2.43574725198,0.6375,0.3615,0.001
0.7,0.9,3.28000032301,1.77627973066,0.627,0.3715,0.0015,2.52773870741,2.11904094951,0.6175,0.382,0.0005
0.7,1.0,3.01408,1.60115435027,0.611,0.389,0.0,2.3613521523,1.99696539925,0.6135,0.386,0.0005
0.7,1.1,2.7726545,1.44737460059,0.6095,0.3905,0.0,2.1446743998,1.83462868551,0.625,0.3745,0.0005
0.7,1.2000000000000002,2.530425,1.30134129257,0.6175,0.3825,0.0,1.99611899299,1.71583577232,0.6125,0.3865,0.001
0.7,1.3,2.354128,1.14504902837,0.617,0.383,0.0,1.8369565,1.60131765557,0.5945,0.4055,0.0
0.7,1.4,2.258742,1.10302272316,0.613,0.387,0.0,1.727383,1.52967805323,0.602,0.398,0.0
0.7,1.5,2.1136655,1.05269597138,0.6045,0.3955,0.0,1.565562,1.40025006479,0.58,0.42,0.0
0.7,1.6,1.9918665,0.975649400095,0.5985,0.4015,0.0,1.485456,1.3028154538,0.611,0.389,0.0
0.7,1.7000000000000002,1.882605,0.903655466934,0.6095,0.3905,0.0,1.3929935,1.2566464991,0.5915,0.4085,0.0
0.7,1.8,1.778573,0.823305184523,0.59,0.41,0.0,1.2576555,1.09471704818,0.5815,0.4185,0.0
0.7,1.9000000000000001,1.6821855,0.776151043747,0.5775,0.4225,0.0,1.225557,1.06216025037,0.572,0.428,0.0
0.7,2.0,1.590449,0.78080280286,0.5765,0.4235,0.0,1.162209,1.00211841771,0.5775,0.4225,0.0
0.7,2.1,1.5187465,0.721681663911,0.582,0.418,0.0,1.098662,1.00554761072,0.574,0.426,0.0
0.7,2.2,1.459811,0.693205660589,0.5815,0.4185,0.0,1.0602095,0.936794979903,0.5815,0.4185,0.0
0.7,2.3,1.416339,0.696832383881,0.571,0.429,0.0,1.0301305,0.905547150123,0.5715,0.4285,0.0
0.7,2.4000000000000004,1.3219135,0.650207381934,0.5495,0.4505,0.0,0.949819,0.871736531161,0.579,0.421,0.0
0.7,2.5,1.2784465,0.623346768423,0.582,0.418,0.0,0.9150045,0.82053650617,0.588,0.412,0.0
0.7,2.6,1.207671,0.58824881762,0.5545,0.4455,0.0,0.892849,0.782658987278,0.569,0.431,0.0
0.7,2.7,1.1498795,0.561249009076,0.5505,0.4495,0.0,0.8386865,0.747502098408,0.5875,0.4125,0.0
