#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,0.6599152,0.209520812949,0.3992,0.6008,0.0,0.4932849,0.457693027771,0.4649,0.5351,0.0
1.0,1.0138998,0.330831852522,0.4522,0.5478000000000001,0.0,0.59384,0.567776126066,0.479,0.521,0.0
1.5,1.0694416,0.322264160191,0.4374,0.5626,0.0,0.6612778,0.620415128046,0.473,0.527,0.0
2.0,1.0982835,0.334936065448,0.472,0.528,0.0,0.719941,0.66588059868,0.4773,0.5226999999999999,0.0
2.5,1.1270285,0.33878233573,0.48169999999999996,0.5183,0.0,0.7421361,0.674142119829,0.483,0.517,0.0
3.0,1.1394526,0.33969965144,0.4844,0.5156000000000001,0.0,0.7599712,0.68187311918,0.4829,0.5171,0.0
3.5,1.1485184,0.340574110088,0.4842,0.5158,0.0,0.7787245,0.682487776879,0.4827,0.5173000000000001,0.0
4.0,1.1504987,0.34103708347,0.4907,0.5093,0.0,0.7946972,0.687973702508,0.4863,0.5136999999999999,0.0
4.5,1.158545,0.344872911714,0.49230000000000007,0.5076999999999999,0.0,0.8039408,0.693598689785,0.4931,0.5069,0.0
5.0,1.1663277,0.342907372704,0.4882,0.5118,0.0,0.8103587,0.697102078737,0.4911,0.5089,0.0
5.5,1.1666354,0.343345048148,0.4931,0.5069,0.0,0.8297812,0.717794134324,0.4929,0.5071,0.0
6.0,1.1637104,0.339302663945,0.49049999999999994,0.5095000000000001,0.0,0.818536,0.698764753406,0.4875,0.5125000000000001,0.0
6.5,1.1680893,0.342828992164,0.49439999999999995,0.5056,0.0,0.8317882,0.716226099593,0.4944,0.5056,0.0
7.0,1.1732231,0.343484916403,0.4965,0.5035000000000001,0.0,0.8347293,0.702128268606,0.4902,0.5098,0.0
7.5,1.1741042,0.345040850726,0.4888,0.5112,0.0,0.833783,0.72133395138,0.48940000000000006,0.5105999999999999,0.0
8.0,1.1747043,0.344486467274,0.4897,0.5103000000000001,0.0,0.834922,0.7023016787,0.4939,0.5061,0.0
8.5,1.1814723,0.346298067937,0.5013000000000001,0.4987,0.0,0.8361671,0.703711226676,0.49699999999999994,0.5030000000000001,0.0
9.0,1.1817485,0.3423381703,0.49740000000000006,0.5026,0.0,0.8394629,0.702618555026,0.49450000000000005,0.5055,0.0
9.5,1.1775948,0.346681328225,0.4931,0.5069,0.0,0.8386388,0.711221337473,0.49950000000000006,0.5005,0.0
10.0,1.1799922,0.344723921195,0.49450000000000005,0.5055000000000001,0.0,0.8451172,0.719365324892,0.4927,0.5073000000000001,0.0
